D:\Athul\Quant Development\Matching Engine>g++ matching_engine.cpp -o server.exe -lws2_32 && server.exe
1. Buy ID: 4,   Sell ID: 4,     Price: 101.25,  Quantity: 25,   Timestamp: Mon Jul 24 15:05:10 2023
Total Trades = 1
Engine Profit = 0
2. Buy ID: 7,   Sell ID: 6,     Price: 100.75,  Quantity: 25,   Timestamp: Mon Jul 24 15:05:11 2023
3. Buy ID: 10,  Sell ID: 5,     Price: 101,     Quantity: 25,   Timestamp: Mon Jul 24 15:05:11 2023
4. Buy ID: 11,  Sell ID: 3,     Price: 100.5,   Quantity: 25,   Timestamp: Mon Jul 24 15:05:11 2023
5. Buy ID: 23,  Sell ID: 17,    Price: 101.5,   Quantity: 25,   Timestamp: Mon Jul 24 15:05:11 2023
6. Buy ID: 26,  Sell ID: 21,    Price: 100.75,  Quantity: 75,   Timestamp: Mon Jul 24 15:05:11 2023
7. Buy ID: 27,  Sell ID: 23,    Price: 102,     Quantity: 75,   Timestamp: Mon Jul 24 15:05:11 2023
8. Buy ID: 31,  Sell ID: 31,    Price: 101.5,   Quantity: 100,  Timestamp: Mon Jul 24 15:05:11 2023
9. Buy ID: 30,  Sell ID: 30,    Price: 100,     Quantity: 50,   Timestamp: Mon Jul 24 15:05:11 2023
10. Buy ID: 29,         Sell ID: 30,    Price: 100,     Quantity: 50,   Timestamp: Mon Jul 24 15:05:11 2023
11. Buy ID: 33,         Sell ID: 37,    Price: 101,     Quantity: 25,   Timestamp: Mon Jul 24 15:05:11 2023
12. Buy ID: 32,         Sell ID: 37,    Price: 101,     Quantity: 50,   Timestamp: Mon Jul 24 15:05:11 2023
13. Buy ID: 29,         Sell ID: 38,    Price: 100,     Quantity: 50,   Timestamp: Mon Jul 24 15:05:11 2023
14. Buy ID: 34,         Sell ID: 40,    Price: 101.5,   Quantity: 25,   Timestamp: Mon Jul 24 15:05:12 2023
15. Buy ID: 34,         Sell ID: 41,    Price: 101.5,   Quantity: 75,   Timestamp: Mon Jul 24 15:05:12 2023
16. Buy ID: 35,         Sell ID: 42,    Price: 100.75,  Quantity: 25,   Timestamp: Mon Jul 24 15:05:12 2023
17. Buy ID: 39,         Sell ID: 45,    Price: 101.25,  Quantity: 25,   Timestamp: Mon Jul 24 15:05:12 2023
18. Buy ID: 43,         Sell ID: 51,    Price: 100,     Quantity: 25,   Timestamp: Mon Jul 24 15:05:12 2023
19. Buy ID: 44,         Sell ID: 50,    Price: 100.75,  Quantity: 25,   Timestamp: Mon Jul 24 15:05:12 2023
20. Buy ID: 46,         Sell ID: 53,    Price: 100.75,  Quantity: 25,   Timestamp: Mon Jul 24 15:05:12 2023
